
> oshikoyo@1.0.0 serve
> npx serve . -p 8081

 INFO  Accepting connections at http://localhost:41097
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /manifest.json
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 6 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/assets/icon-192.png
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 2 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /src/assets/icon-512.png
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /index
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 301 in 0 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 4 ms
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 GET /
 HTTP  3/17/2026 11:52:32 AM 127.0.0.1 Returned 200 in 1 ms
